name,image,team,battingStyle,bowlingStyle,playingRole,description
Bhuvneshwar Kumar,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316658.png",Sunrisers Hyderabad,Right hand Bat,Right arm Medium,Bowler,"At the time of his India debut in 2012, Bhuvneshwar Kumar seemed the answer to the side's fast-bowling scarcity; though middling in pace, he produced swing both ways and had a devastating inswinger. In his first T20I over, he bowled Nasir Jamshed; with his first ODI delivery, he bowled Mohammad Hafeez; and in his first Test series he played a part in India's first whitewash win in a four-Test series, against Australia in 2013.Â Bhuvneshwar demonstrated his mastery of line and length early, when at 19 he worked Sachin Tendulkar over for his first duck in domestic first-class cricket, in the 2008-09 Ranji Trophy final. He was handy with the bat too - in the 2012-13 Duleep Trophy semi-final he scored 128 batting at No. 8.Â He was one of the lone bright spots on India's otherwise wretched tour of England in 2014, taking 19 wickets - including 6 for 82 in the win at Lord's -Â at 26.63. However, an ankle injury in Australia put him out of commission for most of the next year, and he played just one game in the 2015 ODI World Cup. When he returned he wasn't quite the same bowler - he had traded swing for increased pace, but not always effectively. Despite two more five-fors in 2016, against West Indies away and New Zealand at home, his appearances in Tests became more sporadic as injuries dogged him, and he played his last series against South Africa in 2018.Â It was in white-ball cricket that Bhuvneshwar found his niche. In 2013, six months into his ODI career, he picked up 4 for 8 against Sri Lanka in a tri-series game in the Caribbean, and finished as the leading wicket-taker with ten wickets in four games. By 2017 he had formed a devastating partnership with Jasprit Bumrah, and developed slower balls and yorkers that made him India's go-to bowler at the death. In February 2018, he became the second Indian bowler after Yuzvendra Chahal to take five wickets in a T20I, against South Africa in Johannesburg. In 2022, he went one better, picking up 5 for 4 against Afghanistan in the Asia Cup.Â Bhuvneshwar's rise in white-ball cricket mirrored his success in the IPL. He was handed a contract by Royal Challengers Bangalore in 2009 but went two seasons without playing a game in the tournament. After another three unremarkable seasons with Pune Warriors, he was signed by Sunrisers Hyderabad in 2014, and quickly rose through the ranks to become the lynchpin of their powerplay and death bowling. He took upwards of 18 wickets in each of his first four seasons, won the purple cap two years in a row, in 2016 and 2017, and was instrumental in Sunrisers' only title win, in 2016. Though his performances tapered off in later seasons, he remains the franchise's all-time leading wicket-taker."
T Natarajan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322600/322699.png",Sunrisers Hyderabad,Left hand Bat,Left arm Medium,Bowler,
Rahmanullah Gurbaz,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383200/383237.png",Kolkata Knight Riders,Right hand Bat,,Wicketkeeper Batter,
Sunil Narine,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320100/320119.png",Kolkata Knight Riders,Left hand Bat,Right arm Offbreak,Bowling Allrounder,"Sunil Narine player profileMystery spinner Sunil Narine is perhaps the first high-profile cricketer to make a career as a T20 specialist slow bowler, armed with a bag of variations - skidders, knuckleballs, carrom balls and more - for every occasion, and a party trick of thrashing quick runs up or down the order with the bat. Narine got his call-up to the Trinidad and Tobago squad in 2009 after he took all ten wickets in a trial game. Two years later came his first big outing, when he was one of three bowlers to take ten or more wickets at the 2011 Champions League Twenty20 for T&T. In 2012, he helped take West Indies to the World T20 title, the first time they claimed a global trophy since 1979.Narine has been a fixture for Kolkata Knight Riders in the IPL since 2012 - one of a handful of players to have only played for one franchise in the competition. He was among the chief architects of the side's two title victories, in 2012 and 2014, taking over 20 wickets apiece in both seasons. In the first half of his career with them, Narine was untouchable: in 2016, with more than 650 overs bowled for KKR, he had 216 wickets at an economy rate of 5.52. Such highs were beyond him in Test cricket, though. The last of his six matches for West Indies came in December 2013 and his bowling average in the format remains a dismal 40-plus.Perhaps no other spinners save for Saeed Ajmal and Muthiah Muralidaran have been dogged by trouble over the legitimacy of their bowling actions as much as Narine has. Before his ODI debut, in India in 2011, he needed to rework his action with the help of biomechanics experts at the University of Western Australia. In 2014 he missed out on playing the Champions League T20 final after being suspended for throwing. He withdrew himself from the ODI World Cup the following year, saying he needed to keep working on his action, but when he did return, he was suspended from bowling in international cricket after he was reported during a game against Sri Lanka in November 2015. He was cleared a few months later but missed the 2016 T20 World Cup. He was reported yet again during the PSL in 2018, cleared, then reported again in the 2020 IPL, and subsequently cleared once more.In the second half of the 2010s, attention was cast on quite another aspect of Narine's game - his batting. Melbourne Renegades sent him in as opener that BBL season, and he delivered, then taking on the role in other leagues as well. In 2017, he produced 502 runs at a strike rate of over 150 across five T20 leagues and in T20Is.Sunil Narine IPL factfile- Sunil Narine has been a part of the Kolkata Knight Riders (KKR) squad ever since he was signed by them ahead of IPL 2012- Narine was crucial in KKR's title wins in 2012 and 2014, taking 24 and 21 wickets in those seasons.- Narine is the highest wicket-taker in the Indian Premier League among overseas spinners, and was one of the first mystery spinners in the IPL- Narine has also opened the innings frequently for KKR as a pinch-hitter. His partnership record of scoring 105 runs with Chris Lynn in the powerplay still stands.- In IPL 2024, he became the first player to score 500 runs and take 15 wickets in a season."
Venkatesh Iyer,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/337100/337187.png",Kolkata Knight Riders,Left hand Bat,Right arm Medium,Allrounder,
Shreyas Iyer,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/323000/323035.png",Kolkata Knight Riders,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Top order Batter,"Shreyas Iyer IPL factfile- After missing IPL 2023 with a back injury, Shreyas Iyer has returned to lead Kolkata Knight Riders (KKR) in IPL 2024, though he has continued to have issues with his back.- Iyer, a middle-order batter who excels against spin, joined KKR in IPL 2022 as their captain after spending his first seven IPL seasons at Delhi Capitals (DC).- He was named Emerging Player of the Year for scoring 436 runs in his debut IPL season in 2015, and in 2018 he replaced Gautam Gambhir as DC captain after the season had begun.- In 2019, Iyer led DC to the IPL playoffs for the first time after six years, and in 2020 he captained them to their first IPL final, where they lost to Chennai Super Kings.- Iyer missed the first half of IPL 2021 because of a shoulder injury, and when he returned for the second half of the season, DC decided to continue with Rishabh Pant as their captain. Iyer left DC at the end of that season and began his KKR career the following year.Shreyas Iyer player profileShreyas Iyer is an attacking top-order batter capable of marrying classical shots with brute force.  He made headlines when Delhi Daredevils bought him at the 2015 IPL auction for Rs 2.6 crore (about US$416,000). It was faith he repaid with interest: he made 439 runs that season, and won the IPL Emerging Player of the Year award. Over the next six seasons, he became a mainstay of the side and its captain, making over 400 runs a season for them four times. Iyer came up through the Under-19 ranks, hitting back-to-back fifties in the 2014 World Cup playoffs to help India finish fifth. He made his first-class debut for Mumbai the next domestic season, and after a lukewarm stint in the middle order, was promoted to opener and finished as the team's top run-getter with 809 runs at an average of over 50. He had a blow-out Ranji Trophy season the next year, with 1321 runs at 73, and made a century in the final, where Mumbai won their 41st title.By then calls for Iyer to be fast-tracked into the India side had grown clamorous, but it took nearly another two years before he made his international debut, in the white-ball formats first. His first hundred for India came in an ODI against New Zealand in Hamilton in 2020, and he made a century and fifty on Test debut against the same side a little over a year and a half later, this time at home. In a Ranchi ODI in October 2022, he made a chase of 282 against South Africa look like a walk in a park with a well-paced unbeaten 113 that took India home with plenty of room to spare."
Rinku Singh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/341000/341043.png",Kolkata Knight Riders,Left hand Bat,Right arm Offbreak,Middle order Batter,"Rinku Singh IPL factfile- Rinku Singh is the only batter to hit five sixes in the last over of an IPL chase, or any T20 chase (where ball-by-ball data is available) for that matter, winning Kolkata Knight Riders (KKR) a game that looked well beyond them against Gujarat Titans (GT) in 2023.- During that innings, Rinku became the first Indian to hit five consecutive sixes in one over in the IPL - only Chris Gayle had done it before him; two other Indians (Ravindra Jadeja and Rahul Tewatia) have five sixes in an IPL over but not off consecutive deliveries.- Rinku was first bought by Punjab Kings (PBKS, at the time Kings XI Punjab or KXIP) at the 2017 auction but he didn't get a game with them. So his IPL career only really started and flourished at KKR, who gave him a debut in 2018."
Andre Russell,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316615.png",Kolkata Knight Riders,Right hand Bat,Right arm Fast,Allrounder,"Andre Russell player profileA world-class seam-bowling allrounder from Jamaica, Andre Russell made his first-class debut at 19 and Test debut at 22, but it is as a T20 legend, sought after by every franchise league in the world, that he will be remembered.By the time Russell was little more than five years into international cricket, he was a two-time T20 world champion. A batter who hits the ball hard enough to make it scream for mercy, he functions primarily as a finisher. He generates fair pace and bounce with the ball in hand and when it is anywhere near him in the field, it doesn't matter at what speed it's travelling; Russell will probably get to it. He is less a cricketer, in the traditional sense, than an athlete.He first came to notice with his exploits in a 50-over game against Ireland in June 2010, smashing 61 off 34 balls and taking 6 for 42. It was a performance that helped him win a place in West Indies' 2011 World Cup squad. Things didn't go to plan in that tournament, but Russell's capabilities were on show against newly crowned champions India in June when he came out at No. 9, with the score at 96 for 7, and smashed 92 off 64 balls.His impact in international cricket was somewhat sporadic until 2015, when, against South Africa in Port Elizabeth, he provided a consolation victory for West Indies on a difficult tour by hitting 64 off 40 balls to chase down 263 with one wicket to spare. Russell's skills were evident in domestic T20 cricket all along. He had a ground-breaking CPL in 2013 when his team Jamaica Tallawahs became champions. Just as he was reaching stratospheric heights, he served time on the sidelines, when the Jamaica Anti-Doping Commission charged him for not making himself available for drug tests on three occasions in 2015, an offence tantamount to one failed test. Russell was found guilty of a whereabouts-clause violation and banned for a year by an independent doping panel in Jamaica for most of 2017.His star shone brightest at the IPL in 2015, when he was named Player of the Series, and in the Big Bash League later that year, when he struck at 186.86 and picked up 16 wickets - joint-second best - from ten matches. He won the CPL with Tallawahs in 2013, the IPL with Kolkata Knight Riders in 2014, the Bangladesh Premier League with Comilla Victorians, the BBL with Sydney Thunder, and the Pakistan Super League title with Islamabad United in 2016.Andre Russell IPL factfile- Andre Russell made his IPL debut in 2012, for Delhi Daredevils (now Capitals). He played seven matches across two seasons without doing much of note.- Russell has been with Kolkata Knight Riders (KKR) since 2014 (save for 2017, when he was sidelined, serving a doping ban) and they won their second IPL title in his first season with them- He has developed into a fearsome lower-order hitter and scored over 2400 runs for KKR at a strike rate of more than 170.- Russell's bustling, hit-the-deck bowling has been an asset for Knight Riders over the years. He has taken more than 100 wickets for them.- Russell has made over 300 runs in an IPL season four times, in 2015 (326 runs), 2018 (316), 2019 (510) and 2022 (335).- He was formidable in the 2022 season, taking 17 wickets to go with his 300-plus runs from 14 games. However, KKR had a disappointing season, finishing seventh.- Russell played his 100th game for Kolkata Knight Riders in the 2023 season."
Ramandeep Singh,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/380600/380670.4.jpg",Kolkata Knight Riders,Right hand Bat,Right arm Medium,Middle order Batter,
Mitchell Starc,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316644.png",Kolkata Knight Riders,Left hand Bat,Left arm Fast,Bowler,"Mitchell Starc player profileFirst there was Johnson, then there was Starc. A left-armer called Mitchell has been a staple of Australia's attack for more than a decade and seems set to remain so for the foreseeable future. While Johnson was more express, Starc is still quick enough to make life uncomfortable for opposition batsmen, especially with the bounce gained from his 1.96m height - and boasts greater control of swing than his former colleague. Never was that shown to greater effect than during the 2015 World Cup, when Starc was at times unplayable, his inswingers rattling stumps and trapping batsmen in front throughout the competition. Not surprisingly he was named Player of the Tournament for his 22 victims at 10.18, and four years later he would claim 27 wickets at the World Cup in England when Australia's defence ended in the semi-finals.His challenge has been to take that white-ball form and perform just as consistently with the red ball, although overall his Test career numbers are also outstanding. He struggled to gain the consistent backing of the selectors early in his Test career and was often in one Test and out the next, but in 2015 he finally enjoyed a solid run of Test cricket until an ankle injury stopped him during the home summer. His career-best match haul of 11 for 94 came in the notable surroundings of Galle - albeit in an Australia defeat - and he claimed 22 wickets in four Tests during the 2017-18 Ashes. He took his 200th Test wicket in his 50th Test in February of 2019 joining an elite group of Australian bowlers although play only one of the five Ashes Tests in the 2019 series. When England toured down under in 2021-22, Starc produced some of his best form in the three matches where the series was decided and went on to claim the Allan Border Medal as Australia's male player of the year.Also a powerful lower-order batter, Starc fell one short of a Test century in Mohali in 2013. He is married to Australia wicketkeeper Alyssa Healy.ESPNcricinfo staff Mitchell Starc IPL factfile- As of 2024, Mitchell Starc was the costliest player procured at an IPL auction when Kolkata Knight Riders (KKR) made a successful bid of INR 24.75 crore (US$ 2.98 million approx.) for him at the auction before the 2024 IPL.- One of the most sought-after players in T20 cricket, Starc had played only 27 matches across the first 15 editions of the IPL, with injuries, international commitments, and personal reasons kept keeping him away at various points.- In the two IPLs that Starc played before KKR got him for 2024, he took 14 and 20 wickets for Royal Challengers Bengaluru (RCB), in 2014 and 2015."
Vaibhav Arora,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/380600/380684.4.jpg",Kolkata Knight Riders,Right hand Bat,Right arm Fast medium,Bowler,
Harshit Rana,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/358000/358042.png",Kolkata Knight Riders,Right hand Bat,Right arm Fast,Bowler,
Varun Chakravarthy,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/331100/331167.png",Kolkata Knight Riders,Right hand Bat,Legbreak Googly,Bowler,
